customer_id,customer_name,gender,age,state,city,mobile,email,business_type,income_type,net_worth_inr,demat,estimated_annual_income_inr,risk_profile,demat_account_open_date,primary_stock,stock_total_holding,avg_buy_date,avg_sell_date,avg_buy_price_inr,avg_sell_price_inr,holding_value_inr,current_estimated_value_inr,portfolio_value_inr,num_trades_last_12m,is_active_trader
CUST100000,Arjun Sharma,Female,42,Andhra Pradesh,Visakhapatnam,9600133890,arjun.sharma85@example.com,Student,Business Income,17926,Zerodha,1759,Moderate,12/14/2011,HDFC,1386,4/22/2023,-,2853,-,3953704,3590433,3953704,2,FALSE
CUST100001,Deepa Thakur,Male,53,Arunachal Pradesh,Naharlagun,9615594078,deepa.thakur21@example.com,Salaried,Business Income,483712,Upstox,26324,Low,2/23/2011,KOTAKBANK,697,2/12/2018,11/22/2021,2533,1970,1765829,2169526,1373069,4,FALSE
CUST100002,Priya Reddy,Female,32,Assam,Dibrugarh,9164752553,priya.reddy39@example.com,Student,None/Student,4807,Zerodha,372,Moderate,10/16/2011,INFY,94,6/1/2022,1/15/2024,1780,1422,167332,208916,133681,5,FALSE
CUST100003,Aditya Nadkarni,Female,23,Bihar,Patna,9503056413,aditya.nadkarni38@example.com,Entrepreneur,Inheritance,273509,Zerodha,49954,High,6/29/2022,BHARTIARTL,553,5/18/2025,-,951,-,525748,573517,525748,5,FALSE
CUST100004,Smita Chopra,Male,31,Chhattisgarh,Bhilai,9969653287,smita.chopra43@example.com,Professional Services,None/Student,4778417,Zerodha,533391,Low,1/17/2016,ONGC,293,12/20/2017,4/7/2024,120,97,35090,48482,28465,3,FALSE
CUST100005,Vivaan Singh,Male,40,Goa,Panaji,9480184514,vivaan.singh77@example.com,Professional Services,Pension,939505,Zerodha,141607,Low,4/2/2015,INFY,789,4/13/2019,-,1361,-,1074074,1552836,1074074,7,FALSE
CUST100006,Ananya Sharma,Female,39,Gujarat,Vadodara,9893252880,ananya.sharma91@example.com,Retired,Pension,730611,Zerodha,89564,Moderate,9/10/2016,SBI,1040,3/27/2025,9/4/2025,668,514,695115,944335,534258,4,FALSE
CUST100007,Isha Sharma,Male,30,Haryana,Faridabad,9718227824,isha.sharma20@example.com,Retired,Business Income,1149273,Zerodha,139113,Moderate,10/8/2011,TCS,494,11/5/2024,-,3399,-,1679348,2042814,1679348,4,FALSE
CUST100008,Kavya Thakur,Non-binary,41,Himachal Pradesh,Shimla,9315098393,kavya.thakur41@example.com,Retired,Inheritance,1385327,Zerodha,204293,Low,9/18/2012,AXISBANK,898,2/1/2025,-,882,-,791785,717928,791785,6,FALSE
CUST100009,Vivaan Joshi,Male,36,Jharkhand,Ranchi,9299737631,vivaan.joshi79@example.com,Freelancer,Salary,1186481,Zerodha,136703,Low,5/27/2012,HCLTECH,488,2/14/2018,-,1343,-,655486,755858,655486,5,FALSE
